0585,Krabberud Borettslag
0594,Øvre Adamstuen Borettslag
0595,Pontoppidan B/L
0596,Frydenlundgata 5/7 BL
0599,Jacob Meyer Borettslag
0600,Byhagen B/L
0601,Tangerudgrenda BL
0602,Bygdeveien Borettslag
0604,Haugerudtunet  BL
0605,Øvre Kalbakken BL
0606,Idrettsveien Borettslag
0607,Nedre Steensgaarden Borettslag
0608,Øvre Steensgaarden Brl
0611,Tangerudmarka BL
0612,Medisinen Borettslag
0615,Rudskollen Borettslag
0616,Lakkegården Borettslag
0619,Vålen Borettslag
6021,Jess Carlsen Borettslag
0622,Freidigkollen Borettslag
0623,Gluckstadgata 2 Sameie
0624,Enga Borettslag
0627,Hausmann Brl
0630,Freidigtunet Borettslag
0631,Skullerudenga Borettslag
0632,Fredensborg Gårdsrom Sameiet
0710,Markveien 9 B/L
0711,Sofienbergparken B/L
0712,Kampen Slott B/L
0810,OBOS Nye Hjem  AS
0844,Solhauggaten Borettslag
0854,Verksgata Borettslag
0873,OBOS Utleieboliger AS
0875,Aldersboliger For Læger AS
0881,Nittedalgata 1-7 Borettslag
0994,Ellingsrudåsen Kabelnett AS
0998,OBOS Forretningsbygg AS
0999,OBOS
1006,S/E Drammensveien 93
1007,Sameiet Krusesgate 13
1017,Øvre Ljan B/S IV
1018,Sameiet Drammensveien 52
1022,B/S Micheletsvei 21/23
1023,Uelandsgate 61 Sameie
1024,Vestre Ingieråsen B/S
1026,Sameiet Kirkeveien 110
1027,S/E Frederik Stangsgate 37
1029,Sameiet Eugeniesgate 7
1034,Niels Juels Gate 26
1035,Bs Grindbakken Terrasse
1038,B/S Michelets Vei 25/27
1039,Sameiet Schweigaardsgt 54
1043,Nedre Stabburvei 1-3-5 Sameie
1045,Hofftunet Boligsameie
1049,Sinsenveien 14-16-18
1052,Brl Torshov Kvartal XI
1053,Sameiet Nadderud Vest
1054,Vestlifaret Boligsameie
1055,B/S Hammerstadsgate 21
1061,Solhaug Byggeselskap A/S
1062,Durud Borettslag
1082,Høyenhall Sameie
1086,Bråten I Boligsameie
1087,Boligsameiet Kollen
1089,Treschows Gates Terrasse A
1091,Sameiet Herregårdsvn. 1 M.Fl.
1094,Sameiet Kolbotn Terrasse 5-7
1097,Sameiet Langaardløkken
1102,Fornebukollen Boligsameie
1104,Sameiet Vestveien 34
1105,SE Neuberggt. 7
1106,SE Industrigaten 47
1110,Stensgaten 40 B SE
1112,Sameiet Bogstadveien 72
1115,Sameiet Oscarsgate 33
1118,Boligsameiet Odinsgt 5
1119,Sameiet Stensgaten 33
1121,Vestliåsen Boligsameie
1122,Nybygg AS
1126,S/E Gimle Terrasse 3
1127,Vårveien 47 Bs
1128,AS Kastellhagen Byggelag II
1129,Sophus Liesgate 8 Sameie Utg
